stateName,agencyName,year,totalSpending,prevTotalSpending,yoyPCT
Alabama,Agency for International Development,2018,0,NULL,NULL
Alabama,Agency for International Development,2021,0,0,NULL
Alabama,Agency for International Development,2023,198066.82,0,NULL
Alabama,Agency for International Development,2024,209849.34,198066.82,5.94876
Alabama,Agency for International Development,2025,221764.25,209849.34,5.67784
Alabama,Appalachian Regional Commission,2019,2565609,NULL,NULL
Alabama,Appalachian Regional Commission,2020,4018942,2565609,56.646706
Alabama,Appalachian Regional Commission,2021,2481111,4018942,-38.264573
Alabama,Appalachian Regional Commission,2022,8627397,2481111,247.723136
Alabama,Appalachian Regional Commission,2023,12289513,8627397,42.447519
Alabama,Appalachian Regional Commission,2024,16802902,12289513,36.725531
Alabama,Appalachian Regional Commission,2025,17894245,16802902,6.494967
Alabama,Consumer Product Safety Commission,2018,130598.75,NULL,NULL
Alabama,Consumer Product Safety Commission,2019,103638.73,130598.75,-20.643398
Alabama,Consumer Product Safety Commission,2020,176312.79,103638.73,70.122491
Alabama,Consumer Product Safety Commission,2021,129488.03,176312.79,-26.557778
Alabama,Consumer Product Safety Commission,2022,159610.9,129488.03,23.263053
Alabama,Consumer Product Safety Commission,2023,164790.04,159610.9,3.244853
Alabama,Consumer Product Safety Commission,2024,192888.17,164790.04,17.050866
Alabama,Consumer Product Safety Commission,2025,238073.41,192888.17,23.425614
Alabama,Corporation for National and Community Service,2018,7564835.41,NULL,NULL
Alabama,Corporation for National and Community Service,2019,8271552.52,7564835.41,9.342134
Alabama,Corporation for National and Community Service,2020,7130226.67,8271552.52,-13.798205
Alabama,Corporation for National and Community Service,2021,10696934.49,7130226.67,50.022362
Alabama,Corporation for National and Community Service,2022,6273898.92,10696934.49,-41.348627
Alabama,Corporation for National and Community Service,2023,7498055.3,6273898.92,19.511891
Alabama,Corporation for National and Community Service,2024,6117345.27,7498055.3,-18.414241
Alabama,Corporation for National and Community Service,2025,10326123.07,6117345.27,68.800723
Alabama,Defense Nuclear Facilities Safety Board,2018,15464.23,NULL,NULL
Alabama,Delta Regional Authority,2018,3354949,NULL,NULL
Alabama,Delta Regional Authority,2019,1744336,3354949,-48.007078
Alabama,Delta Regional Authority,2020,2426211,1744336,39.090805
Alabama,Delta Regional Authority,2021,206000,2426211,-91.509394
Alabama,Delta Regional Authority,2022,3870230,206000,1778.752427
Alabama,Delta Regional Authority,2023,1453850,3870230,-62.435049
Alabama,Delta Regional Authority,2024,9471754,1453850,551.494583
