Social Security Administration,2025,CA,California,157498001856.52
Social Security Administration,2025,FL,Florida,124243804723.35
Social Security Administration,2025,TX,Texas,112841842755.04
Social Security Administration,2025,NY,New York,93606552494.04
Social Security Administration,2025,PA,Pennsylvania,72891609276.96
Social Security Administration,2025,OH,Ohio,59244871577.65
Social Security Administration,2025,IL,Illinois,57618560916.92
Social Security Administration,2025,MI,Michigan,57562295470.82
Social Security Administration,2025,NC,North Carolina,55663452916.52
Social Security Administration,2025,GA,Georgia,47761807180.84
Social Security Administration,2025,NJ,New Jersey,45084850090.98
Social Security Administration,2025,VA,Virginia,41782154865.45
Social Security Administration,2025,AZ,Arizona,37500628247.26
Social Security Administration,2025,WA,Washington,37482618971.53
Social Security Administration,2025,TN,Tennessee,36558931474.65
Social Security Administration,2025,IN,Indiana,34923045489.70
Department of Veterans Affairs,2025,VA,Virginia,34241465563.06
Social Security Administration,2025,MA,Massachusetts,34236001329.67
Social Security Administration,2025,WI,Wisconsin,33031979464.85
Social Security Administration,2025,MO,Missouri,31984183488.93
Social Security Administration,2025,SC,South Carolina,31168988719.21
Social Security Administration,2025,MD,Maryland,29183356236.17
Social Security Administration,2025,MN,Minnesota,28828244209.67
Social Security Administration,2025,AL,Alabama,27494556449.41
Social Security Administration,2025,CO,Colorado,24568315616.02
Social Security Administration,2025,KY,Kentucky,23526937021.58
Social Security Administration,2025,OR,Oregon,22750403692.47
Social Security Administration,2025,LA,Louisiana,21668604577.96
Social Security Administration,2025,OK,Oklahoma,19677356288.27
Social Security Administration,2025,CT,Connecticut,19572037599.80
Social Security Administration,2025,IA,Iowa,16622101225.41
Social Security Administration,2025,AR,Arkansas,16301173931.25
Department of Veterans Affairs,2025,TX,Texas,15796719056.68
Social Security Administration,2025,MS,Mississippi,15525601211.61
Social Security Administration,2025,KS,Kansas,14607775031.08
Social Security Administration,2025,NV,Nevada,14345901526.27
Social Security Administration,2025,PR,Puerto Rico,12544904520.49
Social Security Administration,2025,UT,Utah,11527485618.28
Department of Education,2025,CA,California,11268741301.17
Department of Energy,2025,NM,New Mexico,11205628763.21
Social Security Administration,2025,WV,West Virginia,10835127444.37
Social Security Administration,2025,NM,New Mexico,10780815996.98
Social Security Administration,2025,ID,Idaho,9579174485.47
Department of Energy,2025,CA,California,9049006836.64
Social Security Administration,2025,NE,Nebraska,9041919702.92
Social Security Administration,2025,NH,New Hampshire,8749169802.56
Social Security Administration,2025,ME,Maine,8680288801.86
Department of Education,2025,TX,Texas,8529659648.09
Social Security Administration,2025,HI,Hawaii,7226166726.89
Department of Energy,2025,TN,Tennessee,6911666354.28
Social Security Administration,2025,DE,Delaware,6452350271.49
Department of Education,2025,NY,New York,6426798971.11
Social Security Administration,2025,MT,Montana,5954805060.20
Social Security Administration,2025,RI,Rhode Island,5924626281.44
Department of Education,2025,FL,Florida,5590219062.82
Department of Energy,2025,WA,Washington,5241427194.15
Social Security Administration,2025,SD,South Dakota,4607007096.66
National Aeronautics and Space Administration,2025,CA,California,4482529284.74
Department of Veterans Affairs,2025,CA,California,4481998153.71
Department of Energy,2025,SC,South Carolina,4359566489.49
Department of Energy,2025,TX,Texas,4169291791.82
Social Security Administration,2025,VT,Vermont,3951233893.97
Department of Energy,2025,IL,Illinois,3874387801.90
Department of Education,2025,IL,Illinois,3431352431.33
Social Security Administration,2025,ND,North Dakota,3403266375.37
Environmental Protection Agency,2025,CA,California,3281799731.37
Social Security Administration,2025,WY,Wyoming,3102705771.49
Department of Education,2025,VA,Virginia,3081636575.78
Department of Education,2025,GA,Georgia,2989865488.64
Department of Education,2025,PA,Pennsylvania,2952903899.77
Department of Education,2025,AZ,Arizona,2911143357.40
Department of Education,2025,NC,North Carolina,2806839308.35
Department of Education,2025,OH,Ohio,2790791108.76
Social Security Administration,2025,AK,Alaska,2752383080.85
Department of Veterans Affairs,2025,WI,Wisconsin,2698599046.72
Department of Energy,2025,ID,Idaho,2537599579.03
Department of Energy,2025,PA,Pennsylvania,2485989032.49
Department of Education,2025,MI,Michigan,2415078257.19
Department of Energy,2025,MO,Missouri,2408827582.73
Department of State,2025,DC,District of Columbia,2309540113.91
Department of Education,2025,NJ,New Jersey,2247252462.23
Social Security Administration,2025,DC,District of Columbia,2214353657.04
Department of State,2025,VA,Virginia,2121230077.91
National Aeronautics and Space Administration,2025,MD,Maryland,2110301329.33
Department of Energy,2025,OH,Ohio,1987267617.02
Department of Veterans Affairs,2025,MD,Maryland,1942574236.47
Pension Benefit Guaranty Corporation,2025,NY,New York,1940040006.37
Department of Education,2025,DC,District of Columbia,1938749513.10
National Aeronautics and Space Administration,2025,AL,Alabama,1904313065.49
Department of Education,2025,TN,Tennessee,1879777378.04
Environmental Protection Agency,2025,NY,New York,1845727293.31
Department of Energy,2025,CO,Colorado,1815468626.81
Department of Veterans Affairs,2025,CO,Colorado,1785405753.82
National Aeronautics and Space Administration,2025,VA,Virginia,1783320221.96
Department of Veterans Affairs,2025,FL,Florida,1783046226.30
Environmental Protection Agency,2025,NC,North Carolina,1775573002.27
Department of Energy,2025,NY,New York,1725179396.90
Department of Education,2025,MA,Massachusetts,1681222005.38
Department of Veterans Affairs,2025,IL,Illinois,1678277943.42
Department of Education,2025,PR,Puerto Rico,1676139838.21
Department of Education,2025,IN,Indiana,1673728518.89
Department of Education,2025,LA,Louisiana,1654609625.76
Department of Energy,2025,MI,Michigan,1588869728.47
Department of Education,2025,WA,Washington,1587410009.65
Department of Education,2025,MD,Maryland,1575306678.57
Department of Education,2025,AL,Alabama,1555632957.63
National Aeronautics and Space Administration,2025,TX,Texas,1553683009.96
Department of Energy,2025,NV,Nevada,1488597495.40
Department of Education,2025,KY,Kentucky,1487351050.89
Agency for International Development,2025,DC,District of Columbia,1455857787.91
Department of Education,2025,MO,Missouri,1449212312.72
Department of Energy,2025,DC,District of Columbia,1445084010.48
Pension Benefit Guaranty Corporation,2025,CA,California,1404749381.36
Department of Education,2025,SC,South Carolina,1362990967.59
Department of Education,2025,CO,Colorado,1337265493.30
National Aeronautics and Space Administration,2025,FL,Florida,1328154376.22
Department of Education,2025,MN,Minnesota,1323394065.64
Department of Veterans Affairs,2025,KS,Kansas,1316120760.70
Department of Education,2025,UT,Utah,1308533269.36
Environmental Protection Agency,2025,IL,Illinois,1286973922.62
Department of Education,2025,WI,Wisconsin,1281782782.65
Department of Education,2025,OK,Oklahoma,1252245891.80
Department of Veterans Affairs,2025,NJ,New Jersey,1172647211.23
Department of Veterans Affairs,2025,MA,Massachusetts,1150570286.83
Department of Energy,2025,FL,Florida,1129409062.74
Department of Energy,2025,IN,Indiana,1111045071.60
Environmental Protection Agency,2025,PA,Pennsylvania,1094230880.48
Department of Veterans Affairs,2025,DC,District of Columbia,1085574188.12
Department of Education,2025,MS,Mississippi,1084134397.56
Railroad Retirement Board,2025,TX,Texas,1054070382.62
National Aeronautics and Space Administration,2025,CO,Colorado,1052305125.12
